UnitID;UnitName;ModuleID;UnitDescription
u_det;Determinant;math_linear_algebra;"The determinant; scaling factor of linear transformation."
u_discrv;Discrete RV;math_stats_prob;"Discrete Random Variables; and their probability mass functions."
u_binom;Binomial distr;math_stats_prob;"The binomial distribution; for success/failure trials."
u_contrv;Continous RV;math_stats_prob;"Continuous Random Variables; and their probability density functions."
u_bayes;Bayes' theorem;math_vector_calc_exp;"Bayes' theorem for conditional probability; updating beliefs."
u_cond;Conditional;math_vector_calc_exp;Understanding conditional probability and independence.
u_diff;Differentiation;math_vector_calc_int;Rules and applications of differentiation.
u_pdiff;Partial diff;math_vector_calc_int;Partial differentiation for multivariable functions.
u_jac;Jacobians;math_vector_calc_int;"The Jacobian matrix; of first-order partial derivatives."
u_hess;Hessians;math_vector_calc_int;"The Hessian matrix; of second-order partial derivatives."
u_nnlearn;Gradient descent;ml_deep_adv;"Gradient descent; Training; Neural Networks; "
u_backprop;Backprop;ml_deep_adv;"Training; Neural Networks; Backpropagation; Overview"
u_conv;Convolutions;ml_deep_adv;"Convolution; Convolutional Layers; Padding; Striding; Neural Networks"
u_percept;Perceptrons;ml_deep_basic;"The simplest neural network unit; a binary classifier; Perceptron; Neural Networks"
u_actfunc;Activation functions;ml_deep_basic;"Activation functions; Neural Networks"
u_actfunctypes;Types of activation functions;ml_deep_basic;"Activation functions; Neural Networks"
u_mlnn;Multilayer NN;ml_deep_basic;"Networks with multiple layers; for complex patterns; Multi-Layer Neural Networks; Neural Networks"
u_hmm;Hidden Markov Models;ml_stat_model;"Supervised learning; Hidden Markov Models; HMMs; Algorithm; Overview;"
u_linreg;Linear regression;ml_supervised_adv;"Details about linear regression; simple yet powerful."
u_sup;Introduction to Supervised Learning;ml_supervised_basic;"Introduction; Supervised Learning; Classification; Regression"
u_logreg;Logistic regression;ml_supervised_basic;"Logistic Regression; Classification; Supervised Learning; Overview; Algorithm; Training"
u_svm;SVMs;ml_supervised_basic;"Support Vector Machines; SVMs; Supervised Learning; Classification"
u_knn;KNN - Algorithm;ml_supervised_basic;"Classification; Supervised Learning; Overview; Algorithm; Regression; KNN; Nearest Neighbours"
u_knn_param;KNN - Parameters;ml_supervised_basic;"Classification; Supervised Learning; Regression; KNN; Nearest Neighbours; Hyperparameter; Distances; "
u_dt;Decision trees;ml_supervised_basic;"Classification; Supervised Learning; Overview; Algorithm; Regression; Decision trees; ID3-Algorithm"
u_class;Classification/Regression;ml_supervised_basic;"Classification; Multi-Class Classification; Regression; Supervised Learning"
u_regr;Linear Regression;ml_supervised_basic;"Linear Regression; Regression; Supervised learning"
u_regr_goodness;Linear Regression - Goodness of Fit;ml_supervised_basic;"Linear Regression; Regression; Supervised learning; Evaluation"
u_reg_estimators;Linear Regression - Derivation of Estimators;ml_supervised_adv;"Linear Regression; Regression; Supervised learning; Training;"
u_kmeans;k-means;ml_unsupervised_adv;"k-Means Clustering; Algorithm; Unsupervised Learning"
u_pca;PCA Concept;ml_unsupervised_adv;"Dimensionality reduction; PCA; Motivation; Unsupervised Learning"
u_pca_math;PCA Math;ml_unsupervised_adv;"PCA; Eigenvalue Decomposition; Change of Base; Projection; Loadings; Unsupervised Learning"
u_meanshift;Meanshift;ml_unsupervised_adv;"Mean Shift; Algorithm; Unsupervised Learning; Kernel Density;"
u_unsup;Introduction to Unsupervised Learning;ml_unsupervised_basic;"Introduction; Unsupervised Learning; Clustering; Dimensionality Reduction"
u_ml;Introduction to Machine Learning;ml_concepts;"Introduction; Machine Learning"
u_textrepr;Text Representation;ml_nlp;"Computing with text; Features from text; Text representation; Bag-of-Words representations; Static word embeddings; Contextualized word embeddings"
u_clust;Clustering;ml_unsupervised_basic;"Clustering; Overview; Partitioning clustering; Hierarchichal clustering; Model-Based clustering; Density-based clustering; Unsupervised Learning"
